"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"37","North Carolina","37013931002","Beaufort County, NC - 37013931002","2020","32.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37015960100","Bertie County, NC - 37015960100","2020","1.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37015960100","Bertie County, NC - 37015960100","2020","2.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37015960200","Bertie County, NC - 37015960200","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37015960200","Bertie County, NC - 37015960200","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37015960300","Bertie County, NC - 37015960300","2020","11.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37015960300","Bertie County, NC - 37015960300","2020","14.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37015960401","Bertie County, NC - 37015960401","2020","4.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37015960401","Bertie County, NC - 37015960401","2020","10.7%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37015960402","Bertie County, NC - 37015960402","2020","32.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37015960402","Bertie County, NC - 37015960402","2020","46.4%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950101","Bladen County, NC - 37017950101","2020","21.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950101","Bladen County, NC - 37017950101","2020","31.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950102","Bladen County, NC - 37017950102","2020","37.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950102","Bladen County, NC - 37017950102","2020","47.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950200","Bladen County, NC - 37017950200","2020","35.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950200","Bladen County, NC - 37017950200","2020","47.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950301","Bladen County, NC - 37017950301","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950301","Bladen County, NC - 37017950301","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950302","Bladen County, NC - 37017950302","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950302","Bladen County, NC - 37017950302","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950401","Bladen County, NC - 37017950401","2020","14.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950401","Bladen County, NC - 37017950401","2020","37.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950402","Bladen County, NC - 37017950402","2020","3.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950402","Bladen County, NC - 37017950402","2020","7.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950501","Bladen County, NC - 37017950501","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950501","Bladen County, NC - 37017950501","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950502","Bladen County, NC - 37017950502","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950502","Bladen County, NC - 37017950502","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950601","Bladen County, NC - 37017950601","2020","3.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950601","Bladen County, NC - 37017950601","2020","8.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37017950602","Bladen County, NC - 37017950602","2020","0.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37017950602","Bladen County, NC - 37017950602","2020","2.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020101","Brunswick County, NC - 37019020101","2020","16.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020101","Brunswick County, NC - 37019020101","2020","37.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020102","Brunswick County, NC - 37019020102","2020","5.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020102","Brunswick County, NC - 37019020102","2020","22.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020105","Brunswick County, NC - 37019020105","2020","2.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020105","Brunswick County, NC - 37019020105","2020","31.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020106","Brunswick County, NC - 37019020106","2020","7.4%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020106","Brunswick County, NC - 37019020106","2020","17.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020107","Brunswick County, NC - 37019020107","2020","60.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020107","Brunswick County, NC - 37019020107","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020108","Brunswick County, NC - 37019020108","2020","38.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020108","Brunswick County, NC - 37019020108","2020","77.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020201","Brunswick County, NC - 37019020201","2020","33.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020201","Brunswick County, NC - 37019020201","2020","91.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020203","Brunswick County, NC - 37019020203","2020","3.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020203","Brunswick County, NC - 37019020203","2020","10.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020204","Brunswick County, NC - 37019020204","2020","9.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020204","Brunswick County, NC - 37019020204","2020","17.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020205","Brunswick County, NC - 37019020205","2020","21.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020205","Brunswick County, NC - 37019020205","2020","48.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020206","Brunswick County, NC - 37019020206","2020","8.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020206","Brunswick County, NC - 37019020206","2020","21.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020304","Brunswick County, NC - 37019020304","2020","2.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020304","Brunswick County, NC - 37019020304","2020","16.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020305","Brunswick County, NC - 37019020305","2020","58.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020305","Brunswick County, NC - 37019020305","2020","96.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020306","Brunswick County, NC - 37019020306","2020","16.6%","",,"Distance to Parks: 1/2 Mile"
